term,valence,source
crumple,-0.05,sentibignomics_x0.1
crunch,-0.03,sentibignomics_x0.1
crusade,0.035,sentibignomics_x0.1
crush,-0.005,sentibignomics_x0.1
crutch,-0.02,sentibignomics_x0.1
cry,-0.04,sentibignomics_x0.1
crystallise,0.02,sentibignomics_x0.1
crystallize,0.0,sentibignomics_x0.1
cue,0.005,sentibignomics_x0.1
cull,-0.03,sentibignomics_x0.1
culminate,0.04,sentibignomics_x0.1
culpability,-0.025,sentibignomics_x0.1
culpable,-0.04,sentibignomics_x0.1
culpably,-0.04,sentibignomics_x0.1
culprit,-0.05,sentibignomics_x0.1
cultivate,0.06,sentibignomics_x0.1
cumbersome,-0.04,sentibignomics_x0.1
curb,-0.015,sentibignomics_x0.1
cure,0.06,sentibignomics_x0.1
curious,0.015,sentibignomics_x0.1
currency,0.0,sentibignomics_x0.1
curse,-0.07,sentibignomics_x0.1
curtail,-0.025,sentibignomics_x0.1
curtailment,-0.025,sentibignomics_x0.1
cushion,0.055,sentibignomics_x0.1
cushy,0.03,sentibignomics_x0.1
cut,-0.025,sentibignomics_x0.1
cutback,-0.035,sentibignomics_x0.1
cute,0.05,sentibignomics_x0.1
cutthroat,-0.06,sentibignomics_x0.1
cutting,-0.025,sentibignomics_x0.1
cyberattack,-0.08,sentibignomics_x0.1
cyberattacks,-0.08,sentibignomics_x0.1
cyberbullying,-0.08,sentibignomics_x0.1
cybercrime,-0.06,sentibignomics_x0.1
cybercrimes,-0.09,sentibignomics_x0.1
cybercriminal,-0.075,sentibignomics_x0.1
cybercriminals,-0.085,sentibignomics_x0.1
cycle,0.0,sentibignomics_x0.1
cyclical,0.02,sentibignomics_x0.1
cyclicality,-0.005,sentibignomics_x0.1
cynical,-0.07,sentibignomics_x0.1
cynicism,-0.025,sentibignomics_x0.1
dabble,0.01,sentibignomics_x0.1
daft,-0.01,sentibignomics_x0.1
dam,0.0,sentibignomics_x0.1
damage,-0.07,sentibignomics_x0.1
damn,-0.055,sentibignomics_x0.1
damned,-0.06,sentibignomics_x0.1
damning,-0.07,sentibignomics_x0.1
damp,-0.03,sentibignomics_x0.1
damped,-0.025,sentibignomics_x0.1
dampen,-0.035,sentibignomics_x0.1
damper,-0.03,sentibignomics_x0.1
danger,-0.08,sentibignomics_x0.1
dangerous,-0.055,sentibignomics_x0.1
dangerously,-0.08,sentibignomics_x0.1
dangle,-0.005,sentibignomics_x0.1
dare,0.0,sentibignomics_x0.1
daring,0.035,sentibignomics_x0.1
darken,-0.035,sentibignomics_x0.1
darkness,-0.03,sentibignomics_x0.1
darling,0.03,sentibignomics_x0.1
darn,-0.035,sentibignomics_x0.1
dash,0.0,sentibignomics_x0.1
date,0.0,sentibignomics_x0.1
daunt,-0.035,sentibignomics_x0.1
daunting,-0.035,sentibignomics_x0.1
dawn,0.0,sentibignomics_x0.1
day,0.0,sentibignomics_x0.1
daze,-0.01,sentibignomics_x0.1
dazzle,0.05,sentibignomics_x0.1
dazzling,0.07,sentibignomics_x0.1
deactivate,-0.045,sentibignomics_x0.1
deadbeat,-0.055,sentibignomics_x0.1
deadlock,-0.05,sentibignomics_x0.1
deadly,-0.06,sentibignomics_x0.1
deadweight,-0.055,sentibignomics_x0.1
deaf,-0.045,sentibignomics_x0.1
deal,0.04,sentibignomics_x0.1
dearth,-0.05,sentibignomics_x0.1
debacle,-0.045,sentibignomics_x0.1
debar,-0.04,sentibignomics_x0.1
debarment,-0.065,sentibignomics_x0.1
debate,0.0,sentibignomics_x0.1
debenture,0.0,sentibignomics_x0.1
debilitating,-0.045,sentibignomics_x0.1
debit,0.0,sentibignomics_x0.1
debris,-0.035,sentibignomics_x0.1
debtor,-0.035,sentibignomics_x0.1
decadent,0.0,sentibignomics_x0.1
decay,-0.065,sentibignomics_x0.1
decaying,-0.08,sentibignomics_x0.1
decease,-0.03,sentibignomics_x0.1
decedent,0.0,sentibignomics_x0.1
deceit,-0.06,sentibignomics_x0.1
deceitful,-0.075,sentibignomics_x0.1
deceitfulness,-0.06,sentibignomics_x0.1
deceive,-0.05,sentibignomics_x0.1
decelerate,-0.04,sentibignomics_x0.1
deceleration,-0.02,sentibignomics_x0.1
decency,0.04,sentibignomics_x0.1
decent,0.025,sentibignomics_x0.1
decentralize,-0.01,sentibignomics_x0.1
deception,-0.075,sentibignomics_x0.1
deceptive,-0.05,sentibignomics_x0.1
deceptively,-0.04,sentibignomics_x0.1
decimate,-0.04,sentibignomics_x0.1
decisive,0.04,sentibignomics_x0.1
declarant,0.0,sentibignomics_x0.1
declare,0.015,sentibignomics_x0.1
decliner,-0.045,sentibignomics_x0.1
decontrol,-0.02,sentibignomics_x0.1
decree,0.0,sentibignomics_x0.1
decrepit,-0.08,sentibignomics_x0.1
decriminalize,0.05,sentibignomics_x0.1
dedicate,0.035,sentibignomics_x0.1
dedicated,0.03,sentibignomics_x0.1
dedication,0.05,sentibignomics_x0.1
deduction,-0.02,sentibignomics_x0.1
deep,-0.02,sentibignomics_x0.1
deepen,-0.02,sentibignomics_x0.1
deface,-0.04,sentibignomics_x0.1
defacement,-0.055,sentibignomics_x0.1
defalcation,-0.075,sentibignomics_x0.1
defamation,-0.065,sentibignomics_x0.1
defamatory,-0.065,sentibignomics_x0.1
defame,-0.055,sentibignomics_x0.1
default,-0.03,sentibignomics_x0.1
defaulted,-0.04,sentibignomics_x0.1
defeasance,-0.03,sentibignomics_x0.1
defeasances,-0.04,sentibignomics_x0.1
defease,-0.025,sentibignomics_x0.1
defeased,-0.03,sentibignomics_x0.1
defeasement,-0.03,sentibignomics_x0.1
defeasing,-0.035,sentibignomics_x0.1
defeat,-0.075,sentibignomics_x0.1
defect,-0.07,sentibignomics_x0.1
defection,-0.04,sentibignomics_x0.1
defective,-0.07,sentibignomics_x0.1
defectively,-0.05,sentibignomics_x0.1
defend,0.0,sentibignomics_x0.1
defendable,0.03,sentibignomics_x0.1
defendant,0.0,sentibignomics_x0.1
defensive,-0.03,sentibignomics_x0.1
defer,-0.02,sentibignomics_x0.1
deference,-0.025,sentibignomics_x0.1
defiance,-0.04,sentibignomics_x0.1
defiant,-0.035,sentibignomics_x0.1
deficiency,-0.075,sentibignomics_x0.1
deficient,-0.05,sentibignomics_x0.1
deficit,-0.045,sentibignomics_x0.1
define,0.025,sentibignomics_x0.1
definitely,0.02,sentibignomics_x0.1
definition,0.0,sentibignomics_x0.1
definitive,0.065,sentibignomics_x0.1
definitively,0.04,sentibignomics_x0.1
deflate,-0.045,sentibignomics_x0.1
deflation,-0.055,sentibignomics_x0.1
deflationary,-0.055,sentibignomics_x0.1
deflect,-0.03,sentibignomics_x0.1
defraud,-0.045,sentibignomics_x0.1
defray,0.0,sentibignomics_x0.1
deft,0.025,sentibignomics_x0.1
defunct,-0.065,sentibignomics_x0.1
defuse,0.045,sentibignomics_x0.1
defy,-0.04,sentibignomics_x0.1
degenerate,-0.04,sentibignomics_x0.1
degradation,-0.05,sentibignomics_x0.1
degrade,-0.05,sentibignomics_x0.1
deindustrialization,-0.04,sentibignomics_x0.1
delay,-0.03,sentibignomics_x0.1
delegable,0.0,sentibignomics_x0.1
delete,-0.02,sentibignomics_x0.1
deleterious,-0.06,sentibignomics_x0.1
deliberate,0.0,sentibignomics_x0.1
deliberately,0.0,sentibignomics_x0.1
delicacy,0.01,sentibignomics_x0.1
delicate,0.0,sentibignomics_x0.1
delicious,0.05,sentibignomics_x0.1
delight,0.055,sentibignomics_x0.1
delighted,0.055,sentibignomics_x0.1
delightful,0.07,sentibignomics_x0.1
delightfully,0.06,sentibignomics_x0.1
delinquency,-0.06,sentibignomics_x0.1
delinquent,-0.04,sentibignomics_x0.1
delinquently,-0.045,sentibignomics_x0.1
delist,-0.03,sentibignomics_x0.1
delude,-0.055,sentibignomics_x0.1
deluge,0.03,sentibignomics_x0.1
delusion,-0.06,sentibignomics_x0.1
deluxe,0.05,sentibignomics_x0.1
demand,0.01,sentibignomics_x0.1
demanding,0.005,sentibignomics_x0.1
demeaning,-0.06,sentibignomics_x0.1
demise,-0.06,sentibignomics_x0.1
democratic,0.0,sentibignomics_x0.1
democratize,-0.01,sentibignomics_x0.1
demolish,-0.065,sentibignomics_x0.1
demolition,-0.05,sentibignomics_x0.1
demon,-0.01,sentibignomics_x0.1
demonize,-0.05,sentibignomics_x0.1
demonstrate,0.04,sentibignomics_x0.1
demoralize,-0.08,sentibignomics_x0.1
demoralized,-0.07,sentibignomics_x0.1
demote,-0.06,sentibignomics_x0.1
demotion,-0.055,sentibignomics_x0.1
demur,-0.03,sentibignomics_x0.1
demurrer,-0.015,sentibignomics_x0.1
demystify,0.01,sentibignomics_x0.1
denial,-0.05,sentibignomics_x0.1
denigrate,-0.07,sentibignomics_x0.1
denigration,-0.045,sentibignomics_x0.1
denounce,-0.03,sentibignomics_x0.1
dense,-0.04,sentibignomics_x0.1
deny,-0.03,sentibignomics_x0.1
depend,0.0,sentibignomics_x0.1
dependability,0.02,sentibignomics_x0.1
dependable,0.065,sentibignomics_x0.1
dependance,-0.02,sentibignomics_x0.1
dependant,-0.005,sentibignomics_x0.1
dependence,0.0,sentibignomics_x0.1
dependency,-0.025,sentibignomics_x0.1
dependent,-0.005,sentibignomics_x0.1
deplete,-0.05,sentibignomics_x0.1
depleted,-0.075,sentibignomics_x0.1
depletion,-0.065,sentibignomics_x0.1
deplorable,-0.07,sentibignomics_x0.1
deplore,-0.035,sentibignomics_x0.1
deployment,0.01,sentibignomics_x0.1
depose,-0.045,sentibignomics_x0.1
deposit,0.02,sentibignomics_x0.1
deposition,0.0,sentibignomics_x0.1
deprecation,-0.055,sentibignomics_x0.1
depreciate,-0.045,sentibignomics_x0.1
depreciation,-0.05,sentibignomics_x0.1
depress,-0.07,sentibignomics_x0.1
depression,-0.075,sentibignomics_x0.1
deprivation,-0.06,sentibignomics_x0.1
deprive,-0.07,sentibignomics_x0.1
depth,0.0,sentibignomics_x0.1
derail,-0.07,sentibignomics_x0.1
deregulate,-0.035,sentibignomics_x0.1
deregulated,-0.04,sentibignomics_x0.1
deregulatory,-0.07,sentibignomics_x0.1
derelict,-0.06,sentibignomics_x0.1
dereliction,-0.05,sentibignomics_x0.1
deride,-0.045,sentibignomics_x0.1
derisory,-0.045,sentibignomics_x0.1
derivative,-0.01,sentibignomics_x0.1
derive,0.0,sentibignomics_x0.1
derogate,-0.035,sentibignomics_x0.1
derogation,-0.05,sentibignomics_x0.1
derogatory,-0.075,sentibignomics_x0.1
descend,-0.04,sentibignomics_x0.1
descent,-0.035,sentibignomics_x0.1
deserted,-0.06,sentibignomics_x0.1
deserve,0.04,sentibignomics_x0.1
design,0.0,sentibignomics_x0.1
designator,0.0,sentibignomics_x0.1
desirable,0.065,sentibignomics_x0.1
desire,0.035,sentibignomics_x0.1
desist,-0.035,sentibignomics_x0.1
despair,-0.055,sentibignomics_x0.1
desperate,-0.06,sentibignomics_x0.1
desperation,-0.05,sentibignomics_x0.1
despicable,-0.055,sentibignomics_x0.1
despise,-0.055,sentibignomics_x0.1
despite,-0.01,sentibignomics_x0.1
destabilization,-0.08,sentibignomics_x0.1
destabilize,-0.065,sentibignomics_x0.1
destine,0.0,sentibignomics_x0.1
destitute,-0.05,sentibignomics_x0.1
destroy,-0.065,sentibignomics_x0.1
destruction,-0.09,sentibignomics_x0.1
destructive,-0.06,sentibignomics_x0.1
desultory,-0.025,sentibignomics_x0.1
detail,0.0,sentibignomics_x0.1
detain,-0.045,sentibignomics_x0.1
detainer,-0.025,sentibignomics_x0.1
detention,-0.06,sentibignomics_x0.1
deter,-0.04,sentibignomics_x0.1
deterioration,-0.065,sentibignomics_x0.1
determinant,0.03,sentibignomics_x0.1
determination,0.075,sentibignomics_x0.1
determine,0.0,sentibignomics_x0.1
deterrence,-0.03,sentibignomics_x0.1
deterrences,-0.025,sentibignomics_x0.1
deterrent,-0.04,sentibignomics_x0.1
detest,-0.03,sentibignomics_x0.1
detract,-0.03,sentibignomics_x0.1
detractor,-0.025,sentibignomics_x0.1
detriment,-0.06,sentibignomics_x0.1
detrimental,-0.055,sentibignomics_x0.1
detrimentally,-0.055,sentibignomics_x0.1
detritus,-0.03,sentibignomics_x0.1
devaluation,-0.06,sentibignomics_x0.1
devalue,-0.04,sentibignomics_x0.1
devastate,-0.09,sentibignomics_x0.1
devastation,-0.085,sentibignomics_x0.1
develop,0.03,sentibignomics_x0.1
developed,0.045,sentibignomics_x0.1
development,0.04,sentibignomics_x0.1
deviate,-0.015,sentibignomics_x0.1
deviation,-0.04,sentibignomics_x0.1
devil,-0.08,sentibignomics_x0.1
devious,-0.06,sentibignomics_x0.1
devise,0.01,sentibignomics_x0.1
devisee,0.0,sentibignomics_x0.1
devoid,-0.03,sentibignomics_x0.1
devolve,-0.04,sentibignomics_x0.1
devote,0.05,sentibignomics_x0.1
dialog,0.025,sentibignomics_x0.1
diamond,0.055,sentibignomics_x0.1
dicey,-0.03,sentibignomics_x0.1
dictate,0.0,sentibignomics_x0.1
die,-0.095,sentibignomics_x0.1
diet,0.0,sentibignomics_x0.1
differ,-0.01,sentibignomics_x0.1
difference,0.02,sentibignomics_x0.1
different,0.0,sentibignomics_x0.1
differentiate,0.05,sentibignomics_x0.1
difficultly,-0.04,sentibignomics_x0.1
diffidence,-0.04,sentibignomics_x0.1
dig,0.0,sentibignomics_x0.1
digit,0.0,sentibignomics_x0.1
digital,0.0,sentibignomics_x0.1
dignified,0.06,sentibignomics_x0.1
dignity,0.06,sentibignomics_x0.1
dilapidated,-0.075,sentibignomics_x0.1
dilemma,-0.03,sentibignomics_x0.1
diligence,0.075,sentibignomics_x0.1
diligent,0.05,sentibignomics_x0.1
diligently,0.045,sentibignomics_x0.1
dilute,-0.03,sentibignomics_x0.1
diluted,-0.035,sentibignomics_x0.1
dilution,-0.03,sentibignomics_x0.1
dim,-0.025,sentibignomics_x0.1
diminish,-0.04,sentibignomics_x0.1
diminution,-0.04,sentibignomics_x0.1
diminutive,-0.03,sentibignomics_x0.1
dingy,-0.04,sentibignomics_x0.1
dint,-0.035,sentibignomics_x0.1
dip,-0.035,sentibignomics_x0.1
dire,-0.03,sentibignomics_x0.1
direct,0.0,sentibignomics_x0.1
direction,0.0,sentibignomics_x0.1
directional,0.035,sentibignomics_x0.1
directive,0.005,sentibignomics_x0.1
dirt,-0.055,sentibignomics_x0.1
dirty,-0.08,sentibignomics_x0.1
disadvantage,-0.045,sentibignomics_x0.1
disadvantageous,-0.06,sentibignomics_x0.1
disaffected,-0.04,sentibignomics_x0.1
disaffiliation,-0.055,sentibignomics_x0.1
disaffirm,-0.035,sentibignomics_x0.1
disaffirmance,-0.05,sentibignomics_x0.1
disaffirmed,-0.04,sentibignomics_x0.1
disaffirms,-0.035,sentibignomics_x0.1
disagree,-0.03,sentibignomics_x0.1
disagreeable,-0.04,sentibignomics_x0.1
disagreement,-0.05,sentibignomics_x0.1
disallow,-0.05,sentibignomics_x0.1
disallowance,-0.04,sentibignomics_x0.1
disappear,-0.03,sentibignomics_x0.1
disappearance,-0.035,sentibignomics_x0.1
disappointingly,-0.045,sentibignomics_x0.1
disapproval,-0.04,sentibignomics_x0.1
disapprove,-0.045,sentibignomics_x0.1
disarray,-0.065,sentibignomics_x0.1
disassociate,-0.045,sentibignomics_x0.1
disassociation,-0.045,sentibignomics_x0.1
disaster,-0.09,sentibignomics_x0.1
disastrous,-0.07,sentibignomics_x0.1
disastrously,-0.085,sentibignomics_x0.1
disavow,-0.045,sentibignomics_x0.1
disavowal,-0.04,sentibignomics_x0.1
disbelief,-0.05,sentibignomics_x0.1
disbursement,0.02,sentibignomics_x0.1
discard,-0.03,sentibignomics_x0.1
discern,0.01,sentibignomics_x0.1
discernible,0.01,sentibignomics_x0.1
discharge,-0.03,sentibignomics_x0.1
disciplinary,-0.03,sentibignomics_x0.1
disciplined,0.015,sentibignomics_x0.1
disclaim,-0.035,sentibignomics_x0.1
disclaimer,0.0,sentibignomics_x0.1
disclose,-0.01,sentibignomics_x0.1
disclosure,0.0,sentibignomics_x0.1
discomfort,-0.05,sentibignomics_x0.1
discontent,-0.045,sentibignomics_x0.1
discontented,-0.05,sentibignomics_x0.1
discontinuance,-0.05,sentibignomics_x0.1
discontinuation,-0.04,sentibignomics_x0.1
discontinue,-0.04,sentibignomics_x0.1
discontinued,-0.06,sentibignomics_x0.1
discount,0.02,sentibignomics_x0.1
discourage,-0.03,sentibignomics_x0.1
discredit,-0.04,sentibignomics_x0.1
discredited,-0.05,sentibignomics_x0.1
discreet,0.01,sentibignomics_x0.1
discrepancy,-0.055,sentibignomics_x0.1
discrete,0.0,sentibignomics_x0.1
discretion,0.0,sentibignomics_x0.1
discriminate,-0.08,sentibignomics_x0.1
discrimination,-0.07,sentibignomics_x0.1
discriminatory,-0.07,sentibignomics_x0.1
discuss,0.025,sentibignomics_x0.1
disdain,-0.05,sentibignomics_x0.1
disease,-0.065,sentibignomics_x0.1
disenchanted,-0.03,sentibignomics_x0.1
disenfranchise,-0.04,sentibignomics_x0.1
disfavored,-0.065,sentibignomics_x0.1
disfavoring,-0.045,sentibignomics_x0.1
disfavors,-0.045,sentibignomics_x0.1
disgorge,-0.025,sentibignomics_x0.1
disgrace,-0.07,sentibignomics_x0.1
disgraced,-0.055,sentibignomics_x0.1
disgraceful,-0.05,sentibignomics_x0.1
disgracefully,-0.07,sentibignomics_x0.1
disgruntle,-0.06,sentibignomics_x0.1
disgruntled,-0.08,sentibignomics_x0.1
disguise,-0.04,sentibignomics_x0.1
disgust,-0.055,sentibignomics_x0.1
disgusting,-0.06,sentibignomics_x0.1
dishonest,-0.045,sentibignomics_x0.1
dishonestly,-0.075,sentibignomics_x0.1
dishonesty,-0.075,sentibignomics_x0.1
dishonor,-0.055,sentibignomics_x0.1
dishonorable,-0.075,sentibignomics_x0.1
dishonorably,-0.07,sentibignomics_x0.1
disillusioned,-0.055,sentibignomics_x0.1
disincentive,-0.035,sentibignomics_x0.1
disinflation,-0.04,sentibignomics_x0.1
disinflationary,-0.05,sentibignomics_x0.1
disingenuous,-0.06,sentibignomics_x0.1
disintegrate,-0.06,sentibignomics_x0.1
disinterested,-0.035,sentibignomics_x0.1
disinterestedly,-0.04,sentibignomics_x0.1
disinterestedness,-0.03,sentibignomics_x0.1
disinvest,-0.045,sentibignomics_x0.1
disinvestment,-0.045,sentibignomics_x0.1
disjointed,-0.03,sentibignomics_x0.1
dislike,-0.045,sentibignomics_x0.1
disloyal,-0.065,sentibignomics_x0.1
disloyally,-0.045,sentibignomics_x0.1
disloyalty,-0.06,sentibignomics_x0.1
dismal,-0.04,sentibignomics_x0.1
dismally,-0.07,sentibignomics_x0.1
dismantle,-0.045,sentibignomics_x0.1
dismantling,-0.04,sentibignomics_x0.1
dismay,-0.04,sentibignomics_x0.1
dismayed,-0.035,sentibignomics_x0.1
dismember,-0.065,sentibignomics_x0.1
dismiss,-0.03,sentibignomics_x0.1
dismissal,-0.04,sentibignomics_x0.1
dismissive,-0.05,sentibignomics_x0.1
disorderly,-0.05,sentibignomics_x0.1
disorganized,-0.06,sentibignomics_x0.1
disparage,-0.04,sentibignomics_x0.1
disparagement,-0.05,sentibignomics_x0.1
disparagingly,-0.04,sentibignomics_x0.1
disparate,-0.025,sentibignomics_x0.1
disparity,-0.055,sentibignomics_x0.1
dispel,-0.02,sentibignomics_x0.1
dispensation,0.0,sentibignomics_x0.1
dispense,0.01,sentibignomics_x0.1
disperse,0.005,sentibignomics_x0.1
dispiriting,-0.04,sentibignomics_x0.1
displace,-0.045,sentibignomics_x0.1
displacement,-0.05,sentibignomics_x0.1
displease,-0.06,sentibignomics_x0.1
displeasure,-0.04,sentibignomics_x0.1
disposable,-0.03,sentibignomics_x0.1
disposal,-0.04,sentibignomics_x0.1
dispose,-0.025,sentibignomics_x0.1
dispositive,-0.02,sentibignomics_x0.1
dispossess,-0.07,sentibignomics_x0.1
dispossession,-0.06,sentibignomics_x0.1
disproportion,-0.055,sentibignomics_x0.1
disproportional,-0.05,sentibignomics_x0.1
disproportionate,-0.04,sentibignomics_x0.1
disproportionately,-0.045,sentibignomics_x0.1
disprove,-0.025,sentibignomics_x0.1
dispute,-0.03,sentibignomics_x0.1
disputed,-0.02,sentibignomics_x0.1
disqualification,-0.06,sentibignomics_x0.1
disqualify,-0.04,sentibignomics_x0.1
disregard,-0.03,sentibignomics_x0.1
disrepair,-0.05,sentibignomics_x0.1
disreputable,-0.045,sentibignomics_x0.1
disrepute,-0.04,sentibignomics_x0.1
disrupt,-0.06,sentibignomics_x0.1
disruption,-0.06,sentibignomics_x0.1
disruptive,-0.04,sentibignomics_x0.1
dissatisfaction,-0.055,sentibignomics_x0.1
dissatisfied,-0.05,sentibignomics_x0.1
dissatisfy,-0.045,sentibignomics_x0.1
dissect,0.0,sentibignomics_x0.1
dissent,-0.03,sentibignomics_x0.1
dissenter,-0.025,sentibignomics_x0.1
disservice,-0.055,sentibignomics_x0.1
dissident,-0.015,sentibignomics_x0.1
dissimilar,-0.005,sentibignomics_x0.1
dissipate,-0.015,sentibignomics_x0.1
dissolution,-0.04,sentibignomics_x0.1
dissolve,-0.03,sentibignomics_x0.1
dissuade,-0.025,sentibignomics_x0.1
distance,0.0,sentibignomics_x0.1
distasteful,-0.05,sentibignomics_x0.1
distinct,0.02,sentibignomics_x0.1
distinction,0.0,sentibignomics_x0.1
distinctive,0.0,sentibignomics_x0.1
distinctively,0.0,sentibignomics_x0.1
distinctiveness,0.0,sentibignomics_x0.1
distinguishable,0.04,sentibignomics_x0.1
distinguished,0.04,sentibignomics_x0.1
distort,-0.05,sentibignomics_x0.1
distortion,-0.05,sentibignomics_x0.1
distract,-0.04,sentibignomics_x0.1
distracted,-0.035,sentibignomics_x0.1
distraction,-0.03,sentibignomics_x0.1
distraint,-0.045,sentibignomics_x0.1
distraught,-0.065,sentibignomics_x0.1
distress,-0.05,sentibignomics_x0.1
distressing,-0.08,sentibignomics_x0.1
distributable,0.02,sentibignomics_x0.1
distribute,0.055,sentibignomics_x0.1
distributive,0.01,sentibignomics_x0.1
distrust,-0.055,sentibignomics_x0.1
disturb,-0.04,sentibignomics_x0.1
disturbance,-0.04,sentibignomics_x0.1
ditch,-0.035,sentibignomics_x0.1
dither,-0.025,sentibignomics_x0.1
dive,-0.03,sentibignomics_x0.1
diverge,0.0,sentibignomics_x0.1
divergent,0.0,sentibignomics_x0.1
diverse,0.03,sentibignomics_x0.1
diversification,0.05,sentibignomics_x0.1
diversified,0.04,sentibignomics_x0.1
diversify,0.035,sentibignomics_x0.1
diversion,-0.01,sentibignomics_x0.1
diversity,-0.01,sentibignomics_x0.1
divert,-0.01,sentibignomics_x0.1
divest,-0.03,sentibignomics_x0.1
divestiture,-0.005,sentibignomics_x0.1
divestment,-0.025,sentibignomics_x0.1
divide,-0.005,sentibignomics_x0.1
dividend,0.0,sentibignomics_x0.1
diving,0.0,sentibignomics_x0.1
division,0.0,sentibignomics_x0.1
divorce,-0.045,sentibignomics_x0.1
divulge,-0.015,sentibignomics_x0.1
dizzy,-0.025,sentibignomics_x0.1
dizzying,-0.035,sentibignomics_x0.1
do,0.0,sentibignomics_x0.1
docile,0.0,sentibignomics_x0.1
docket,0.0,sentibignomics_x0.1
dodge,0.0,sentibignomics_x0.1
dodgy,-0.045,sentibignomics_x0.1
dogged,-0.045,sentibignomics_x0.1
doldrum,-0.035,sentibignomics_x0.1
doldrums,-0.05,sentibignomics_x0.1
dole,0.035,sentibignomics_x0.1
dollar,0.05,sentibignomics_x0.1
domain,0.015,sentibignomics_x0.1
domestic,0.0,sentibignomics_x0.1
dominance,0.02,sentibignomics_x0.1
dominant,0.035,sentibignomics_x0.1
dominate,0.03,sentibignomics_x0.1
domination,-0.015,sentibignomics_x0.1
donate,0.045,sentibignomics_x0.1
donation,0.055,sentibignomics_x0.1
donee,0.0,sentibignomics_x0.1
donor,0.06,sentibignomics_x0.1
doomed,-0.065,sentibignomics_x0.1
dormant,-0.015,sentibignomics_x0.1
double,0.065,sentibignomics_x0.1
doubt,-0.025,sentibignomics_x0.1
doubtful,-0.03,sentibignomics_x0.1
dour,-0.025,sentibignomics_x0.1
douse,-0.005,sentibignomics_x0.1
dowdy,-0.04,sentibignomics_x0.1
downbeat,-0.035,sentibignomics_x0.1
downdraft,-0.04,sentibignomics_x0.1
downfall,-0.06,sentibignomics_x0.1
downgrade,-0.065,sentibignomics_x0.1
downgrading,-0.055,sentibignomics_x0.1
downmarket,-0.045,sentibignomics_x0.1
downplay,-0.04,sentibignomics_x0.1
downside,-0.045,sentibignomics_x0.1
downsize,-0.04,sentibignomics_x0.1
downtime,-0.03,sentibignomics_x0.1
downtrend,-0.045,sentibignomics_x0.1
downtrodden,-0.06,sentibignomics_x0.1
downward,-0.04,sentibignomics_x0.1
downwards,-0.05,sentibignomics_x0.1
dowry,-0.01,sentibignomics_x0.1
drab,-0.02,sentibignomics_x0.1
draconian,-0.045,sentibignomics_x0.1
drag,-0.03,sentibignomics_x0.1
drain,-0.04,sentibignomics_x0.1
dramatic,-0.03,sentibignomics_x0.1
dramatize,-0.05,sentibignomics_x0.1
drastic,-0.035,sentibignomics_x0.1
drastically,-0.015,sentibignomics_x0.1
draw,0.0,sentibignomics_x0.1
drawback,-0.04,sentibignomics_x0.1
dread,-0.065,sentibignomics_x0.1
dreaded,-0.05,sentibignomics_x0.1
dreadful,-0.05,sentibignomics_x0.1
dream,0.05,sentibignomics_x0.1
dreary,-0.04,sentibignomics_x0.1
drench,-0.04,sentibignomics_x0.1
dribble,-0.035,sentibignomics_x0.1
drift,0.0,sentibignomics_x0.1
drill,-0.02,sentibignomics_x0.1
drink,0.0,sentibignomics_x0.1
drinking,0.0,sentibignomics_x0.1
drool,-0.025,sentibignomics_x0.1
droop,-0.04,sentibignomics_x0.1
drought,-0.065,sentibignomics_x0.1
drown,-0.085,sentibignomics_x0.1
drubbing,-0.05,sentibignomics_x0.1
drug,0.0,sentibignomics_x0.1
dry,-0.03,sentibignomics_x0.1
dub,0.0,sentibignomics_x0.1
dubious,-0.04,sentibignomics_x0.1
dud,-0.065,sentibignomics_x0.1
due,0.0,sentibignomics_x0.1
dull,-0.045,sentibignomics_x0.1
duly,0.0,sentibignomics_x0.1
dumb,-0.075,sentibignomics_x0.1
dummy,-0.045,sentibignomics_x0.1
dump,-0.045,sentibignomics_x0.1
dupe,-0.07,sentibignomics_x0.1
durable,0.03,sentibignomics_x0.1
duress,-0.04,sentibignomics_x0.1
dust,-0.035,sentibignomics_x0.1
dusty,-0.03,sentibignomics_x0.1
dwindle,-0.05,sentibignomics_x0.1
dynamism,0.05,sentibignomics_x0.1
dynasty,0.0,sentibignomics_x0.1
dysfunction,-0.05,sentibignomics_x0.1
dysfunctional,-0.055,sentibignomics_x0.1
eager,0.06,sentibignomics_x0.1
eagerness,0.03,sentibignomics_x0.1
early,0.02,sentibignomics_x0.1
earmark,0.0,sentibignomics_x0.1
earn,0.065,sentibignomics_x0.1
earnest,0.04,sentibignomics_x0.1
earning,0.075,sentibignomics_x0.1
earthquake,-0.05,sentibignomics_x0.1
ease,0.035,sentibignomics_x0.1
easement,0.025,sentibignomics_x0.1
easily,0.06,sentibignomics_x0.1
east,0.0,sentibignomics_x0.1
easy,0.065,sentibignomics_x0.1
ebb,-0.015,sentibignomics_x0.1
ebullient,0.07,sentibignomics_x0.1
eccentric,-0.015,sentibignomics_x0.1
eclectic,0.04,sentibignomics_x0.1
eclipse,0.0,sentibignomics_x0.1
economic,0.0,sentibignomics_x0.1
economist,0.0,sentibignomics_x0.1
economy,0.0,sentibignomics_x0.1
ecstatic,0.065,sentibignomics_x0.1
edge,0.0,sentibignomics_x0.1
edged,0.04,sentibignomics_x0.1
edginess,-0.01,sentibignomics_x0.1
